gene,panel,category,headline,source,MatrisomeDivision,MatrisomeCategory
EMCN,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
FCN1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
FREM1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
GPC1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
GPC4,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
GREM1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
LGALS1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
LMAN1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC12,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC20,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC21,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC3A,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC5AC,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUC5B,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
MUCL1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
OVGP1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PARM1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXDC2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXNA1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXNA2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXNB1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXNB2,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXNB3,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
PLXND1,Matrisome_Biomarkers,ECM-affiliated Proteins,FALSE,Subah matrisome biomarker panel,Matrisome-associated,ECM-affiliated Proteins
