"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","weight","p_adj"
"Amyloid_effect",0.340030700422708,0.219626647653068,Inf,-0.0904296190225738,0.77049101986799,1.54822151162565,0.121568973910761,"ExNeuron4","Parenchyma",0.533333333333333,0.328476121779443
"AD_overall_vs_Control",0.529002431676821,0.27695520299506,Inf,-0.0138197915244762,1.07182465487812,1.91006497063807,0.0561248485227134,"ExNeuron4","Parenchyma",0.533333333333333,0.0586759780010186
"Disease_effect",0.805057290274559,0.185648387052665,Inf,0.441193137863382,1.16892144268573,4.33646261653853,1.4479403925917e-05,"ExNeuron5","Parenchyma",0.533333333333333,5.55043817160152e-05
"Amyloid_effect",0.0148531691391967,0.120945806564816,Inf,-0.222196255808991,0.251902594087385,0.122808467371183,0.902258769027612,"ExNeuron5","Parenchyma",0.533333333333333,0.909625636569955
"AD_overall_vs_Control",0.81297898048213,0.173956562710191,Inf,0.472030382695773,1.15392757826849,4.67345967186385,2.96167881966508e-06,"ExNeuron5","Parenchyma",0.533333333333333,1.94624608149419e-05
"Disease_effect",0.712141606542832,0.295394774294411,Inf,0.133178487704448,1.29110472538122,2.41081315078736,0.0159170005394028,"ExNeuron6","Parenchyma",0.533333333333333,0.0197887033733116
"Amyloid_effect",0.338833430307826,0.181487280207457,Inf,-0.0168751025509191,0.694541963166572,1.86698169657128,0.0619041439182886,"ExNeuron6","Parenchyma",0.533333333333333,0.200515205155337
"AD_overall_vs_Control",0.892852769373672,0.281818673779966,Inf,0.340498318594096,1.44520722015325,3.16818171556218,0.00153395609394007,"ExNeuron6","Parenchyma",0.533333333333333,0.00220506188503886
"Disease_effect",0.527066668519642,0.25830965238747,Inf,0.0207890529811396,1.03334428405814,2.04044511557404,0.0413060122664755,"ExNeuron7","Parenchyma",0.533333333333333,0.0452399181966161
"Amyloid_effect",0.153613413071622,0.179177643438848,Inf,-0.197568314903278,0.504795141046523,0.857324664636802,0.391265481065143,"ExNeuron7","Parenchyma",0.533333333333333,0.620628004448159
"AD_overall_vs_Control",0.60899382215784,0.239116049869768,Inf,0.140334976287612,1.07765266802807,2.54685464438511,0.0108698699258633,"ExNeuron7","Parenchyma",0.533333333333333,0.012820872220249
"Disease_effect",0.607094284258143,0.217716914328813,Inf,0.180376973348476,1.03381159516781,2.7884571399963,0.00529597545514684,"ExNeuron8","Parenchyma",0.533333333333333,0.00716514326284573
"Amyloid_effect",0.13220061497398,0.131094879568881,Inf,-0.124740627538641,0.389141857486602,1.00843461932866,0.313245860234788,"ExNeuron8","Parenchyma",0.533333333333333,0.554204214261548
"AD_overall_vs_Control",0.677601278910932,0.204759067715116,Inf,0.276280880681306,1.07892167714056,3.30926139912732,0.000935424581737008,"ExNeuron8","Parenchyma",0.533333333333333,0.00143431769199674
"Disease_effect",0.505647301438756,0.271032856554725,Inf,-0.0255673360355149,1.03686193891303,1.86563100823409,0.0620930082161592,"ExNeuron9","Parenchyma",0.533333333333333,0.0664250785568214
"Amyloid_effect",0.0964272106577461,0.19005583145048,Inf,-0.27607537403701,0.468929795352502,0.507362546688658,0.611900459868321,"ExNeuron9","Parenchyma",0.533333333333333,0.703685528848569
"AD_overall_vs_Control",0.557075147122887,0.248191194018123,Inf,0.0706293455673724,1.0435209486784,2.24454034046916,0.024797656407577,"ExNeuron9","Parenchyma",0.533333333333333,0.0271593379702034
"Disease_effect",-0.757344985268471,0.135821651212063,Inf,-1.02355052996488,-0.491139440572068,-5.5760254606683,2.46075926732658e-08,"Fibroblast","Parenchyma",0.533333333333333,3.77316420990075e-07
"Amyloid_effect",0.150181334838507,0.0988094994045317,Inf,-0.0434817253248074,0.343844395001821,1.51990786051507,0.128534134609347,"Fibroblast","Parenchyma",0.533333333333333,0.328476121779443
"AD_overall_vs_Control",-0.677248273354601,0.125846816440256,Inf,-0.923903501146527,-0.430593045562676,-5.38152885000562,7.38558637212942e-08,"Fibroblast","Parenchyma",0.533333333333333,1.69868486558977e-06
"Disease_effect",0.676461722919695,0.196533037374382,Inf,0.291264047893641,1.06165939794575,3.44197460110017,0.000577484468727897,"InhNeuron1","Parenchyma",0.533333333333333,0.0009160098469477
"Amyloid_effect",0.177526701887213,0.126861594290421,Inf,-0.0711174539433448,0.426170857717771,1.39937309538145,0.161701130540827,"InhNeuron1","Parenchyma",0.533333333333333,0.371912600243902
"AD_overall_vs_Control",0.771142630592875,0.180939450417815,Inf,0.416507824391486,1.12577743679426,4.26188224188918,2.02712259653163e-05,"InhNeuron1","Parenchyma",0.533333333333333,6.66054567431822e-05
"Disease_effect",0.816630519302007,0.194826752222619,Inf,0.434777101720766,1.19848393688325,4.19157282039422,2.77027239845774e-05,"InhNeuron2","Parenchyma",0.533333333333333,7.96453314556601e-05
"Amyloid_effect",0.0132057978587247,0.116339617380458,Inf,-0.214815662182143,0.241227257899593,0.113510755459497,0.909625636569955,"InhNeuron2","Parenchyma",0.533333333333333,0.909625636569955
"AD_overall_vs_Control",0.823673611493327,0.185518517493076,Inf,0.460063998741633,1.18728322424502,4.43984580420155,9.00233551576975e-06,"InhNeuron2","Parenchyma",0.533333333333333,3.76461303386735e-05
"Disease_effect",0.767601973675979,0.203575995165893,Inf,0.36860035503393,1.16660359231803,3.77059177851724,0.000162860893105636,"InhNeuron3","Parenchyma",0.533333333333333,0.000315280475533539
"Amyloid_effect",-0.0786614659606023,0.126245895262206,Inf,-0.326098873870542,0.168775941949338,-0.623081374623915,0.533231048550041,"InhNeuron3","Parenchyma",0.533333333333333,0.671089665373926
"AD_overall_vs_Control",0.725649191830325,0.190779431251502,Inf,0.351728377586346,1.0995700060743,3.80360286782547,0.000142606735206913,"InhNeuron3","Parenchyma",0.533333333333333,0.00027332957581325
"Disease_effect",0.815212199067444,0.214171373040329,Inf,0.395444021388907,1.23498037674598,3.8063546378532,0.000141030119053957,"InhNeuron4","Parenchyma",0.533333333333333,0.000308923117927716
"Amyloid_effect",0.0821450121164217,0.122521650983327,Inf,-0.157993011137285,0.322283035370128,0.670453029788183,0.502569039188345,"InhNeuron4","Parenchyma",0.533333333333333,0.671089665373926
"AD_overall_vs_Control",0.859022872196203,0.202391941983679,Inf,0.462341955147073,1.25570378924533,4.24435312876971,2.19224895194086e-05,"InhNeuron4","Parenchyma",0.533333333333333,6.72289678595197e-05
"Disease_effect",0.773385366662068,0.165741122144934,Inf,0.448538736500744,1.09823199682339,4.66622499385381,3.06783768805964e-06,"InhNeuron5","Parenchyma",0.533333333333333,1.56800592945271e-05
"Amyloid_effect",0.0630762767262508,0.106689787143876,Inf,-0.14603186359399,0.272184417046491,0.591211946474219,0.554378419221939,"InhNeuron5","Parenchyma",0.533333333333333,0.671089665373926
