"contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","region","p_adj"
"AD_Amyloid_vs_Control",-0.610959948022038,0.169651686541158,Inf,-0.943471143559186,-0.27844875248489,-3.6012606799156,0.000316677851499909,"Fibroblast","Parenchyma",0.000643308824186433
"AD_Amyloid_vs_Control",0.802064653203478,0.211647580740961,Inf,0.38724301753616,1.21688628887079,3.7896235354806,0.000150875765331644,"InhNeuron1","Parenchyma",0.000393831339949295
"AD_Amyloid_vs_Control",0.784508124076539,0.174278724309107,Inf,0.442928101159104,1.12608814699397,4.50145665907622,6.74893282817498e-06,"InhNeuron2","Parenchyma",4.43501300137213e-05
"AD_Amyloid_vs_Control",0.713201413353243,0.196229738760806,Inf,0.328598192686361,1.09780463402013,3.63452256450589,0.000278495883690361,"InhNeuron3","Parenchyma",0.000640540532487831
"AD_Amyloid_vs_Control",0.887121045118022,0.196534857102676,Inf,0.501919803490051,1.27232228674599,4.51381021258006,6.3673201344032e-06,"InhNeuron4","Parenchyma",4.43501300137213e-05
"AD_Amyloid_vs_Control",0.816330430673636,0.173475152256997,Inf,0.476325380037321,1.15633548130995,4.70574846053039,2.5293623771829e-06,"InhNeuron5","Parenchyma",2.90876673376034e-05
"AD_Amyloid_vs_Control",0.673032237188783,0.271365446789623,Inf,0.141165734832501,1.20489873954506,2.48016925202181,0.0131320032146311,"Microglia1","Parenchyma",0.0172592042249437
"AD_Amyloid_vs_Control",0.483542799459881,0.207608889799689,Inf,0.0766368525821464,0.890448746337617,2.32910449993941,0.0198535303622931,"Microglia2","Parenchyma",0.0240332209648811
"AD_Amyloid_vs_Control",0.794739356949865,0.187449496458006,Inf,0.427345094972004,1.16213361892773,4.23975189033334,2.23766973831555e-05,"Microglia3","Parenchyma",0.000102932807962515
"AD_Amyloid_vs_Control",0.449628775244255,0.211584411374552,Inf,0.0349309492600259,0.864326601228485,2.12505624740147,0.0335819197833646,"Microglia4","Parenchyma",0.0367801978579708
"AD_Amyloid_vs_Control",0.826433409806049,0.243680674659865,Inf,0.348828063744292,1.30403875586781,3.3914606111445,0.000695211551995631,"Microglia5","Parenchyma",0.00122998966891535
"AD_Amyloid_vs_Control",0.206213797680708,0.259021019216085,Inf,-0.301458071221676,0.713885666583092,0.796127659078804,0.425957839192045,"Oligodendrocytes1","Parenchyma",0.435423568951868
"AD_Amyloid_vs_Control",-0.607658825142333,0.345372646313612,Inf,-1.2845767731623,0.0692591228776377,-1.75942950789031,0.0785045836373002,"Oligodendrocytes2","Parenchyma",0.0839816476119955
"AD_Amyloid_vs_Control",0.743493117293322,0.196377229177862,Inf,0.358600820720944,1.1283854138657,3.78604546161474,0.000153063683714461,"Oligodendrocytes3","Parenchyma",0.000393831339949295
"AD_Amyloid_vs_Control",0.67028044322783,0.217713927771847,Inf,0.243568985862255,1.09699190059341,3.07872100828684,0.00207891266909504,"Oligodendrocytes4","Parenchyma",0.00318766609261239
"AD_Amyloid_vs_Control",0.634242124652509,0.259721436666728,Inf,0.125197462772723,1.1432867865323,2.44200914946564,0.0146057764527281,"Oligodendrocytes5","Parenchyma",0.0181585328871755
"AD_Amyloid_vs_Control",0.265605594520576,0.230358784724878,Inf,-0.1858893270626,0.717100516103752,1.15300831630013,0.248906971074812,"Oligodendrocytes6","Parenchyma",0.260220924305486
"AD_Amyloid_vs_Control",0.187898970270993,0.261049060457878,Inf,-0.323747786424467,0.699545726966452,0.719784127709249,0.471657919000834,"Oligodendrocytes7","Parenchyma",0.471657919000834
"AD_Amyloid_vs_Control",0.688461930652331,0.190763990512856,Inf,0.314571379699993,1.06235248160467,3.60897215874677,0.000307412596063774,"Oligodendrocytes8","Parenchyma",0.000643308824186433
"AD_Amyloid_vs_Control",0.636677940855494,0.176992376130318,Inf,0.289779258101905,0.983576623609083,3.59720545469549,0.000321654412093217,"OPC1","Parenchyma",0.000643308824186433
"AD_Amyloid_vs_Control",0.741132057846577,0.145586821745594,Inf,0.455787130601559,1.02647698509159,5.09065345997915,3.56831645471763e-07,"OPC2","Parenchyma",1.64142556917011e-05
"AD_Amyloid_vs_Control",0.718627346767758,0.191397437490955,Inf,0.34349526255223,1.09375943098329,3.75463410685275,0.000173594880941733,"OPC3","Parenchyma",0.000420282343332617
"AD_Amyloid_vs_Control",0.754321965691474,0.184822246238599,Inf,0.392077019522028,1.11656691186092,4.08133750694531,4.47772774541518e-05,"Pericytes","Parenchyma",0.000187250432990089
"AD_Amyloid_vs_Control",0.896960310752466,0.195601471063766,Inf,0.513588472144431,1.2803321493605,4.58565217262633,4.52571504836414e-06,"SMC","Parenchyma",4.16365784449501e-05
"AD_Amyloid_vs_Control",0.664378856888887,0.197932827342793,Inf,0.276437643938828,1.05232006983895,3.35658751409776,0.000789107431703281,"VLMC1","Parenchyma",0.00129639078065539
"AD_Amyloid_vs_Control",0.673975271416468,0.178095164670358,Inf,0.324915162841836,1.0230353799911,3.78435468848326,0.000154107915632333,"VLMC2","Parenchyma",0.000393831339949295
