"celltype","region","contrast","type","log2_OR","odds.ratio","SE","p.value","p_adj","estimate"
"Oligodendrocytes1","Arteries","Disease_effect","Disease",1.28254982840057,2.43268551537514,0.687258030204193,0.00165081274877744,0.00292066870937548,NA
"Oligodendrocytes2","Arteries","Disease_effect","Disease",0.968921216403162,1.95737640823609,0.689546471097288,0.0565922358413314,0.0743783671057498,NA
"Oligodendrocytes3","Arteries","Disease_effect","Disease",1.44558640593763,2.72373511271708,0.543309201879939,5.07965917235596e-07,2.88408123073033e-06,NA
"Oligodendrocytes4","Arteries","Disease_effect","Disease",1.66520983617726,3.17159781340725,0.735590050828254,6.4695703671292e-07,2.97600236887943e-06,NA
"Oligodendrocytes5","Arteries","Disease_effect","Disease",1.39433192514496,2.62866797020077,0.694000850001266,0.000251500448891718,0.00048204252704246,NA
"Oligodendrocytes6","Arteries","Disease_effect","Disease",1.39997823721155,2.63897601277939,0.891836533544891,0.00408630417954351,0.00648172387100005,NA
"Oligodendrocytes7","Arteries","Disease_effect","Disease",1.22411927613896,2.3361279227663,0.664548090716166,0.00285654893969069,0.00486671300836191,NA
"Oligodendrocytes8","Arteries","Disease_effect","Disease",1.14601845119265,2.21302300922268,0.434420704397669,5.19623655521344e-05,0.000119513440769909,NA
"OPC1","Arteries","Disease_effect","Disease",1.73840261894757,3.33665521972583,0.711024675775592,1.5620253001137e-08,1.79632909513075e-07,NA
"OPC2","Arteries","Disease_effect","Disease",1.77182608242875,3.41485916985877,0.613472317150224,8.12355267049543e-12,1.86841711421395e-10,NA
"OPC3","Arteries","Disease_effect","Disease",1.77016080729227,3.41091973764422,0.650212253800983,1.22203068130661e-10,1.87378037800347e-09,NA
"Pericytes","Arteries","Disease_effect","Disease",0.388337685851337,1.30888440093361,0.325382468205847,0.278903963291356,0.30546624550958,NA
"SMC","Arteries","Disease_effect","Disease",0.456590669349401,1.37229501970737,0.26894254722368,0.106336514467362,0.125422555525606,NA
