"contrast","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value","celltype","region","p_adj"
"Disease_effect",1.66373024501877,0.439099361600111,Inf,0.991813176207788,2.79084649668974,1,1.92881675743728,0.0537536147416909,"ExNeuron13","Capillaries",0.109782018424708
"Disease_effect",1.90684633705876,0.413359929465528,Inf,1.24679485853303,2.91632815797186,1,2.9774908043458,0.00290618362383045,"ExNeuron14","Capillaries",0.0190977780994573
"Disease_effect",1.14542920451087,0.279365948416331,Inf,0.710171668093876,1.84745199152744,1,0.556709618618342,0.577725844066677,"ExNeuron2","Capillaries",0.590564196157047
"Disease_effect",1.70870755320182,0.609669730802966,Inf,0.849097566056731,3.43857009969792,1,1.50149871306017,0.133226619303837,"ExNeuron3","Capillaries",0.185709832968985
"Disease_effect",2.11510637557737,0.707995480553921,Inf,1.09750659328314,4.0762169515768,1,2.23791963556711,0.0252262963148638,"ExNeuron4","Capillaries",0.0580204815241867
"Disease_effect",1.15950168932652,0.284405015789491,Inf,0.716946714566304,1.87523583027273,1,0.603347457011937,0.546277568456781,"ExNeuron5","Capillaries",0.571108367022998
"Disease_effect",1.39061497685993,0.52313187503067,Inf,0.665266386974397,2.90682056350693,1,0.876547305719998,0.380732571197317,"ExNeuron6","Capillaries",0.407295308722711
"Disease_effect",2.493687884677,0.72893640893175,Inf,1.4061289583125,4.42241035534013,1,3.12597769702247,0.00177214991257535,"ExNeuron7","Capillaries",0.0135864826630777
"Disease_effect",1.47889491118357,0.42974945535595,Inf,0.836735440669257,2.61388492947699,1,1.34656220090725,0.178121274876719,"ExNeuron8","Capillaries",0.234102246980831
"Disease_effect",1.38686986884154,0.468499347196723,Inf,0.715304250722268,2.68893695397227,1,0.968144018071263,0.332972448885023,"ExNeuron9","Capillaries",0.364684110683597
"Disease_effect",0.225915852399179,0.0406563653511425,Inf,0.15876779368775,0.32146300694727,1,-8.26612920822499,1.38378573323462e-16,"Fibroblast","Capillaries",6.36541437287927e-15
"Disease_effect",1.71114796164801,0.4947262957801,Inf,0.970931460499331,3.01568902211317,1,1.85793213767304,0.0631786518946784,"InhNeuron1","Capillaries",0.11909700472722
"Disease_effect",2.0126968526982,0.44960292434239,Inf,1.29907472344491,3.1183338015529,1,3.13127905257276,0.00174046695197668,"InhNeuron2","Capillaries",0.0135864826630777
"Disease_effect",1.5959713322949,0.405309548664717,Inf,0.970187597877802,2.62539378887007,1,1.84078744083868,0.0656527139967114,"InhNeuron3","Capillaries",0.11909700472722
"Disease_effect",1.76755147508167,0.386585775691751,Inf,1.15133993605827,2.71356713965777,1,2.60430924405071,0.00920596510387903,"InhNeuron4","Capillaries",0.0352895328982029
"Disease_effect",1.73622460758358,0.424332223755875,Inf,1.0754067913549,2.80310289298139,1,2.25742382062595,0.023981604657665,"InhNeuron5","Capillaries",0.0580204815241867
"Disease_effect",1.48368673894903,0.379881294935238,Inf,0.89825912495713,2.45065847723871,1,1.54089970102544,0.123341198621994,"Microglia1","Capillaries",0.177302973019117
"Disease_effect",1.75898278689551,0.376044387497622,Inf,1.15687742244492,2.67445831733482,1,2.64160395221186,0.00825144812865983,"Microglia2","Capillaries",0.0345060558107593
