"contrast1","contrast","estimate","SE","df","asymp.LCL","asymp.UCL","z.ratio","p.value","celltype","p_adj"
"Arteries - Parenchyma","Amyloid_effect",0.198116251933132,0.178745714565235,Inf,-0.220810184378398,0.617042688244662,1.10836924071166,0.508868097972827,"ExNeuron12",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.156664175351819,0.188941059541815,Inf,-0.286157096975186,0.599485447678824,0.829169560770605,0.684884685264237,"ExNeuron12",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.0172159399422042,0.285004034151082,Inf,-0.650748182452169,0.685180062336577,0.0604059517735737,0.997990305224676,"ExNeuron13",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.184342530175677,0.260107486490843,Inf,-0.793956599182013,0.425271538830659,-0.708716741154496,0.758335754070074,"ExNeuron13",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.201558470117881,0.278316189773118,Inf,-0.853848287711823,0.45073134747606,-0.724206774611964,0.749132012323798,"ExNeuron13",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.190265483924171,0.210705852367108,Inf,-0.684096913991383,0.303565946143041,-0.902990979067234,0.638404766315446,"ExNeuron13",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.296606551405207,0.181347491938767,Inf,-0.12841767206626,0.721630774876673,1.63557018756762,0.23066282821331,"ExNeuron13",0.723442506669017
"Capillaries - Parenchyma","Amyloid_effect",0.486872035329377,0.200529441353352,Inf,0.0168910657378381,0.956853004920917,2.42793293614907,0.0402525884718705,"ExNeuron13",0.264517009958006
"Arteries - Capillaries","Disease_effect",-0.118049265103005,0.271814219527662,Inf,-0.755100411210149,0.51900188100414,-0.434301286033311,0.901271277265738,"ExNeuron14",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.301845988515666,0.246255276467542,Inf,-0.878994624746648,0.275302647715317,-1.22574424737433,0.437900793580246,"ExNeuron14",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.183796723412661,0.259381945974798,Inf,-0.791710342684996,0.424116895859674,-0.708594897466454,0.75840780625424,"ExNeuron14",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.121228118285168,0.208023424776725,Inf,-0.608772741231796,0.36631650466146,-0.582761861628246,0.829357682301438,"ExNeuron14",0.999974772559645
"Arteries - Parenchyma","Amyloid_effect",0.0936987477597228,0.17433225034136,Inf,-0.314883849855626,0.502281345375072,0.537472255284099,0.852852182274678,"ExNeuron14",0.999974772559645
"Capillaries - Parenchyma","Amyloid_effect",0.214926866044891,0.186338955401549,Inf,-0.22179585327879,0.651649585368572,1.15341886285526,0.481212480658903,"ExNeuron14",0.999974772559645
"Arteries - Capillaries","Disease_effect",0.674231077585823,0.308913105862017,Inf,-0.0497687502336625,1.39823090540531,2.18259136563466,0.0741594763358278,"ExNeuron2",0.999939298369795
"Arteries - Parenchyma","Disease_effect",0.125850383689836,0.280897433065436,Inf,-0.532489095325828,0.7841898627055,0.448029668040858,0.895277331743062,"ExNeuron2",0.999939298369795
"Capillaries - Parenchyma","Disease_effect",-0.548380693895987,0.308517403852234,Inf,-1.27145311468251,0.174691726890537,-1.77747085593471,0.177159398050379,"ExNeuron2",0.999939298369795
"Arteries - Capillaries","Amyloid_effect",-0.698029514464185,0.228846127136248,Inf,-1.23437631717254,-0.161682711755833,-3.05021336038866,0.00646912862852644,"ExNeuron2",0.118999623010807
"Arteries - Parenchyma","Amyloid_effect",0.247127754531372,0.191237762353513,Inf,-0.201076301525646,0.695331810588389,1.29225395387415,0.399518897997732,"ExNeuron2",0.95057944696012
"Capillaries - Parenchyma","Amyloid_effect",0.945157268995557,0.229856534251567,Inf,0.406442374537011,1.4838721634541,4.11194431375672,0.000116178847400894,"ExNeuron2",0.00801634047066169
"Arteries - Capillaries","Disease_effect",-0.509227952210579,0.449513597663857,Inf,-1.56275323532537,0.544297330904209,-1.13284215395721,0.493787739616648,"ExNeuron3",0.999939298369795
"Arteries - Parenchyma","Disease_effect",-0.199328024093781,0.414035344451823,Inf,-1.16970290429778,0.771046856110223,-0.481427556281911,0.88009936587311,"ExNeuron3",0.999939298369795
